TradeDateTime,Open,High,Low,Close,Volume,Product,Contract
2022-04-18 07:00:00,24.155,24.155,23.9175,23.9275,378,Energy,Q01
2022-04-18 07:15:00,23.9275,24.0425,23.8775,23.97,564,Energy,Q01
2022-04-18 07:30:00,23.9675,24.07,23.9175,24.015,422,Energy,Q01
2022-04-18 07:45:00,24.03,24.035,23.9725,23.99,101,Energy,Q01
2022-04-18 08:00:00,23.9875,24.04,23.65,23.8175,588,Energy,Q01
2022-04-18 08:15:00,23.8125,23.885,23.5325,23.6125,701,Energy,Q01
2022-04-18 08:30:00,23.6225,23.72,23.5275,23.68,744,Energy,Q01
2022-04-18 08:45:00,23.6875,23.75,23.67,23.6925,514,Energy,Q01
2022-04-18 09:00:00,23.69,23.725,23.6525,23.6525,296,Energy,Q01
2022-04-18 09:15:00,23.65,23.7475,23.65,23.6925,234,Energy,Q01
2022-04-18 09:30:00,23.6925,23.715,23.6375,23.6475,396,Energy,Q01
2022-04-18 09:45:00,23.6375,23.645,23.5125,23.56,985,Energy,Q01
